id,neo_summary_id,neo_id,date,name,diameter_min,diameter_max,is_hazardous
213,15,3698475,2021-11-25,(2014 WF201),0.0202560601,0.0452939273,0
214,15,3827356,2021-11-25,(2018 RE3),0.0092162655,0.0206081961,0
215,15,3838074,2021-11-25,(2019 BB5),0.0121494041,0.0271668934,0
216,15,54217195,2021-11-25,(2021 VR4),0.0134448195,0.0300635304,0
217,15,54219292,2021-11-25,(2021 VF11),0.0094744711,0.0211855615,0
218,15,54219290,2021-11-25,(2021 VW10),0.0557898221,0.1247498347,0
219,15,54222423,2021-11-25,(2021 VQ27),0.0108781483,0.0243242791,0
220,15,54224423,2021-11-25,(2021 WA2),0.0345585074,0.0772751717,0
221,15,54226111,2021-11-25,(2021 WN6),0.0257368254,0.0575492912,0
222,15,54226118,2021-11-25,(2021 WR6),0.0268259417,0.0599846292,0
223,15,54226115,2021-11-25,(2021 XT),0.0316632126,0.0708010957,0
224,15,54226798,2021-11-25,(2021 XK2),0.0195233786,0.0436556017,0
225,15,54235662,2021-11-25,(2022 AN2),0.1260535197,0.2818642388,1
226,15,54236572,2021-11-25,(2022 AK5),0.039314701,0.0879103439,0
227,15,54296732,2021-11-25,(2022 QE2),0.0042712499,0.009550805,0
228,15,54359835,2021-11-25,(2023 KK2),0.0680072129,0.1520687509,0
229,15,54414584,2021-11-25,(2023 XB4),0.0061454682,0.0137416847,0
230,15,54430729,2021-11-25,(2024 EY3),0.0325502986,0.0727846803,0
231,16,2481442,2021-11-26,481442 (2006 WO3),0.1283970296,0.2871044863,0
232,16,3478653,2021-11-26,(2009 WC54),0.0365220357,0.0816657545,0
233,16,3781043,2021-11-26,(2017 QK18),0.031228777,0.0698296682,0
234,16,3789748,2021-11-26,(2017 WW27),0.0468333233,0.1047224945,0
235,16,3841189,2021-11-26,(2019 GY19),0.1123453177,0.2512117673,0
236,16,3873320,2021-11-26,(2019 TT),0.0291443905,0.0651688382,0
237,16,54218573,2021-11-26,(2021 VB8),0.0342416731,0.0765667087,0
238,16,54224159,2021-11-26,(2021 WA1),0.0076657557,0.0171411509,0
239,16,54226114,2021-11-26,(2021 XS),0.0407901194,0.0912094798,0
240,16,54236617,2021-11-26,(2022 AD6),0.1708263953,0.3819794322,0
241,16,54327895,2021-11-26,(2022 WF2),0.0144063837,0.0322136532,0
242,16,54431627,2021-11-26,(2024 FH2),0.0908981358,0.2032544107,0
243,16,54465202,2021-11-26,(2024 OK),0.0084831076,0.0189688053,0
244,16,2846169,2021-11-26,846169 (2019 GY19),0.1123453177,0.2512117673,0
245,17,3297230,2021-11-27,(2005 UU3),0.0978486812,0.2187963027,0
246,17,3363430,2021-11-27,(2006 XY2),0.0840533402,0.1879489824,0
247,17,3388080,2021-11-27,(2007 TC23),0.219055911,0.4898239078,0
248,17,3655739,2021-11-27,(2013 YD110),0.0840533402,0.1879489824,0
249,17,3694455,2021-11-27,(2014 UU56),0.0050647146,0.0113250461,0
250,17,3736412,2021-11-27,(2015 XX169),0.0088014652,0.0196806745,0
251,17,3836245,2021-11-27,(2018 VS9),0.0327005439,0.0731206391,0
252,17,3844004,2021-11-27,(2019 SP2),0.0417402433,0.0933340215,0
253,17,54093095,2021-11-27,(2020 WZ3),0.0152249185,0.0340439527,0
254,17,54175298,2021-11-27,(2021 OC1),0.0110294785,0.0246626636,0
255,17,54214716,2021-11-27,(2021 UU6),0.0334622374,0.0748238376,0
256,17,54215211,2021-11-27,(2021 VM),0.0225193047,0.050354696,0
257,17,54217976,2021-11-27,(2021 TH72),0.0537718498,0.1202375114,0
258,17,54217971,2021-11-27,(2021 VU6),0.0242412481,0.0542050786,0
259,17,54226408,2021-11-27,(2021 XH1),0.0184737464,0.0413085527,0
260,17,54228545,2021-11-27,(2021 XY2),0.0370301078,0.0828018383,0
261,17,54405406,2021-11-27,(2023 VD10),0.0122618211,0.0274182656,0
262,17,54445580,2021-11-27,(2024 LQ),0.0250354255,0.0559809132,0
263,17,54561364,2021-11-27,(2025 VM1),0.0555590712,0.1242338599,0
264,1,3561773,2025-12-02,(2011 GO27),0.4212646106,0.9419763057,0
265,1,3771023,2025-12-02,(2017 EC3),0.0840533402,0.1879489824,0
266,1,3836411,2025-12-02,(2018 WC2),0.02658,0.0594346868,0
267,1,2549328,2025-12-02,549328 (2011 GO27),0.4232090797,0.9463242708,0
268,1,54249330,2025-12-02,(2022 EQ2),0.0407901194,0.0912094798,0
269,1,54554706,2025-12-02,(2025 US6),0.0016709174,0.0037362848,0
270,1,54561768,2025-12-02,(2025 VC5),0.0240522094,0.0537823753,0
271,1,54562093,2025-12-02,(2025 WG),0.0126868842,0.0283687355,0
272,1,54564111,2025-12-02,(2025 WG8),0.0364044921,0.0814029191,0
273,1,54564354,2025-12-02,(2025 WW9),0.0477259934,0.1067185655,0
274,1,54564808,2025-12-02,(2025 WC16),0.0216747939,0.0484663126,0
275,1,3561773,2025-12-02,(2011 GO27),0.4212646106,0.9419763057,0
276,1,3771023,2025-12-02,(2017 EC3),0.0840533402,0.1879489824,0
277,1,3836411,2025-12-02,(2018 WC2),0.02658,0.0594346868,0
278,1,2549328,2025-12-02,549328 (2011 GO27),0.4232090797,0.9463242708,0
279,1,54249330,2025-12-02,(2022 EQ2),0.0407901194,0.0912094798,0
280,1,54554706,2025-12-02,(2025 US6),0.0016709174,0.0037362848,0
281,1,54561768,2025-12-02,(2025 VC5),0.0240522094,0.0537823753,0
282,1,54562093,2025-12-02,(2025 WG),0.0126868842,0.0283687355,0
283,1,54564111,2025-12-02,(2025 WG8),0.0364044921,0.0814029191,0
284,1,54564354,2025-12-02,(2025 WW9),0.0477259934,0.1067185655,0
285,1,54564808,2025-12-02,(2025 WC16),0.0216747939,0.0484663126,0
286,1,3561773,2025-12-02,(2011 GO27),0.4212646106,0.9419763057,0
287,1,3771023,2025-12-02,(2017 EC3),0.0840533402,0.1879489824,0
288,1,3836411,2025-12-02,(2018 WC2),0.02658,0.0594346868,0
289,1,2549328,2025-12-02,549328 (2011 GO27),0.4232090797,0.9463242708,0
290,1,54249330,2025-12-02,(2022 EQ2),0.0407901194,0.0912094798,0
291,1,54554706,2025-12-02,(2025 US6),0.0016709174,0.0037362848,0
292,1,54561768,2025-12-02,(2025 VC5),0.0240522094,0.0537823753,0
293,1,54562093,2025-12-02,(2025 WG),0.0126868842,0.0283687355,0
294,1,54564111,2025-12-02,(2025 WG8),0.0364044921,0.0814029191,0
295,1,54564354,2025-12-02,(2025 WW9),0.0477259934,0.1067185655,0
296,1,54564808,2025-12-02,(2025 WC16),0.0216747939,0.0484663126,0
297,1,3561773,2025-12-02,(2011 GO27),0.4212646106,0.9419763057,0
298,1,3771023,2025-12-02,(2017 EC3),0.0840533402,0.1879489824,0
299,1,3836411,2025-12-02,(2018 WC2),0.02658,0.0594346868,0
