neo_item_id,neo_name,neo_date,diameter_min_km,diameter_max_km,is_hazardous,apod_id,apod_title,apod_date,apod_url,match_type,match_score
43,(2025 UP2),2015-01-02,0.004748484,0.010617933,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
44,(2014 XD32),2015-01-03,0.1394938229,0.3119176705,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
45,(2014 YQ34),2015-01-03,0.0391340663,0.0875064325,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
46,(2014 YE42),2015-01-03,0.0555334912,0.1241766613,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
47,(2015 DY53),2015-01-03,0.1363185559,0.3048175575,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
48,(2019 AR3),2015-01-03,0.0868070458,0.1941064553,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
49,(2022 YN7),2015-01-03,0.2063264836,0.4613600429,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
50,(2022 YF4),2015-01-03,0.049952241,0.1116966065,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
51,(2023 YU1),2015-01-03,0.1440638367,0.3221365319,0,3,Apollo 17: A Stereo View from Lunar Orbit,2015-01-03,https://apod.nasa.gov/apod/image/1501/22466-22467anaVantuyne900.jpg,date_match,1.000
52,429736 (2011 MB2),2015-01-04,0.2368944994,0.5297122041,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
53,(2007 GU4),2015-01-04,0.0784431412,0.1754041962,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
54,(2014 KM39),2015-01-04,0.0350392641,0.0783501764,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
55,(2014 YP34),2015-01-04,0.0160160338,0.0358129403,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
56,(2014 YU41),2015-01-04,0.046190746,0.1032856481,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
57,(2014 YB42),2015-01-04,0.022108281,0.0494356193,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
58,(2015 BE513),2015-01-04,0.1058168859,0.2366137501,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
59,(2019 AY3),2015-01-04,0.0457672667,0.1023387195,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
60,(2019 BS2),2015-01-04,0.0092162655,0.0206081961,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
61,(2019 NE1),2015-01-04,0.1278070988,0.285785361,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
62,(2021 AA6),2015-01-04,0.011131533,0.0248908644,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
63,(2022 YP),2015-01-04,0.0063760979,0.0142573883,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
64,(2024 EW3),2015-01-04,0.0055278338,0.0123606121,0,4,Crescent Rhea Occults Crescent Saturn,2015-01-04,https://apod.nasa.gov/apod/image/1501/saturnrhea_cassini_960.jpg,date_match,1.000
